Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Belgium,BEL,"Population, total",SP.POP.TOTL,11274196
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30280
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,45507.2310582037
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9926829268293
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.47999954223633
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34413603
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,574.184114271259
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.377
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.3900003433228
Albania,ALB,"Population, total",SP.POP.TOTL,2880703
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4524.3730858712
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.025
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.1900005340576
Algeria,DZA,"Population, total",SP.POP.TOTL,39728025
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381741
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4775.87329508677
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.09
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.210000038147
American Samoa,ASM,"Population, total",SP.POP.TOTL,55812
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9850.56503409338
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,"Population, total",SP.POP.TOTL,78011
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,42140.9617984695
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Angola,AGO,"Population, total",SP.POP.TOTL,27884381
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3748.32011771476
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.398
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.26000022888184
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93566
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13328.1466479391
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.483
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Argentina,ARG,"Population, total",SP.POP.TOTL,43131966
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10568.1578087083
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.068
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.6100001335144
Armenia,ARM,"Population, total",SP.POP.TOTL,2925553
